Year,Teams,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL
2021-22,Phoenix Suns,Devin Booker,68,34.5,26.8,9.7,20.9,0.466,2.7,7,0.383,4.6,5.3,0.868,0.7,4.4,5,4.8,2.4,1.1
2021-22,Phoenix Suns,Jae Crowder,67,28.1,9.4,3.2,8.1,0.399,1.9,5.4,0.348,1.1,1.3,0.789,0.4,4.8,5.3,1.9,0.8,1.4
2022-23,Atlanta Hawks,Dejounte Murray,74,36.4,20.5,8.3,17.8,46.4,1.8,5.2,34.4,2.1,2.6,83.2,0.7,4.5,5.3,6.1,2.2,1.5
2022-23,Atlanta Hawks,Trae Young,73,34.8,26.2,8.2,19,42.9,2.1,6.3,33.5,7.8,8.8,88.6,0.8,2.2,3,10.2,4.1,1.1
2022-23,Atlanta Hawks,John Collins,71,30,13.1,5.1,10,50.8,1,3.4,29.2,2,2.5,80.3,1.1,5.4,6.5,1.2,1.1,0.6
2022-23,Atlanta Hawks,De'Andre Hunter,67,31.7,15.4,5.7,12.3,46.1,1.5,4.3,35,2.6,3.1,82.6,0.7,3.6,4.2,1.4,1.2,0.5
2022-23,Atlanta Hawks,Clint Capela,63,26.8,11.9,5.3,8.2,64.9,0,0,0,1.2,2,60.2,4,7.1,11.2,0.9,0.9,0.7
2022-23,Chicago Bulls,Nikola Vucevic,82,33.5,17.6,7.3,14,52,1.5,4.2,34.9,1.6,1.9,83.5,1.9,9.1,11,3.2,1.7,0.7
2022-23,Chicago Bulls,Zach LaVine,77,35.9,24.8,8.7,18,48.5,2.6,7.1,37.5,4.7,5.6,84.8,0.5,3.9,4.5,4.2,2.5,0.9
2022-23,Chicago Bulls,DeMar DeRozan,74,36.2,24.5,8.9,17.6,50.4,0.6,1.9,32.4,6.2,7.1,87.2,0.5,4.2,4.6,5.1,2.1,1.1
2022-23,Chicago Bulls,Patrick Beverley,67,27.1,6.2,2.1,5.4,40,1.2,3.6,33.5,0.7,1,72.3,0.7,3,3.7,2.9,0.9,0.9
2022-23,Chicago Bulls,Patrick Williams,65,29.2,10.3,3.9,8.5,45.6,1.4,3.4,40.6,1.2,1.3,87.2,1,3.4,4.4,1.3,1.4,0.8
2022-23,Dallas Mavericks,Luka Doncic,66,36.2,32.4,10.9,22,49.6,2.8,8.2,34.2,7.8,10.5,74.2,0.8,7.8,8.6,8,3.6,1.4
2022-23,Dallas Mavericks,Dwight Powell,64,19.6,6.7,2.6,3.6,71.9,0,0.1,0,1.5,2.3,65.3,1.9,2.1,4,1,0.9,0.7
2022-23,Dallas Mavericks,Kyrie Irving,60,37.3,27.1,9.9,20.1,49.4,3.1,8.3,37.9,4.1,4.6,90.5,1,4.1,5.1,5.5,2.1,1.1
2022-23,Dallas Mavericks,Reggie Bullock,55,31.4,7.4,2.6,6.4,40.3,2,5.4,37.5,0.2,0.3,72.2,0.4,3.4,3.8,1.5,0.5,0.7
2022-23,Dallas Mavericks,Tim Hardaway Jr.,45,33,15.6,5.4,12.9,41.6,3.2,8.3,39,1.6,2.4,69.2,0.4,3.8,4.1,1.8,0.9,0.7
2022-23,Golden State Warriors,Draymond Green,73,31.5,8.5,3.4,6.5,52.7,0.5,1.8,30.5,1.1,1.5,71.3,0.9,6.3,7.2,6.8,2.8,1
2022-23,Golden State Warriors,Kevon Looney,70,24.3,7.2,3,4.8,63.6,0,0,0,1.2,1.9,60.9,3.3,6,9.3,2.7,0.5,0.6
2022-23,Golden State Warriors,Klay Thompson,69,33,21.9,7.9,18.1,43.6,4.4,10.6,41.2,1.7,1.9,87.9,0.6,3.6,4.1,2.4,1.8,0.7
2022-23,Golden State Warriors,Stephen Curry,56,34.7,29.4,10,20.2,49.3,4.9,11.4,42.7,4.6,5,91.5,0.7,5.4,6.1,6.3,3.2,0.9
2022-23,Golden State Warriors,Jordan Poole,43,33,24.6,8,18.5,43.3,3,9,33.3,5.5,6.2,88.4,0.5,2.6,3.1,4.6,3.5,0.9
2022-23,Indiana Pacers,Buddy Hield,73,31.7,17.1,6.1,13.2,45.9,3.6,8.6,42.4,1.3,1.6,81.9,0.9,4.2,5,2.7,1.8,1.2
2022-23,Indiana Pacers,Andrew Nembhard,63,29.2,10,4,9,44.6,1.3,3.5,35.6,0.7,0.9,78.2,0.5,2.3,2.8,4.8,1.8,1
2022-23,Indiana Pacers,Myles Turner,62,29.4,18,6.5,11.8,54.8,1.5,4,37.3,3.5,4.5,78.3,1.4,6.1,7.5,1.4,1.7,0.6
2022-23,Indiana Pacers,Aaron Nesmith,60,26,10.6,3.6,8.4,43,1.6,4.4,35.6,1.8,2.2,83.8,0.9,3.1,4,1.4,1.1,0.8
2022-23,Indiana Pacers,Tyrese Haliburton,56,33.6,20.7,7.4,15,49,2.9,7.2,40,3.1,3.6,87.1,0.6,3.1,3.7,10.4,2.5,1.6
2022-23,Los Angeles Lakers,D'Angelo Russell,71,32.5,17.8,6.3,13.4,46.9,2.7,6.9,39.6,2.5,3,82.9,0.5,2.5,3,6.2,2.6,1
2022-23,Los Angeles Lakers,Jarred Vanderbilt,65,24.8,8.1,3.2,5.9,54.9,0.4,1.2,32.5,1.2,1.7,71.8,2.2,5.4,7.6,2.4,1.4,1.1
2022-23,Los Angeles Lakers,Anthony Davis,54,34.2,26.2,9.8,17.3,56.8,0.3,1.3,25,6.3,8,78.3,3.4,9.2,12.6,2.6,2.2,1.1
2022-23,Los Angeles Lakers,LeBron James,54,35.6,29.1,11.2,22.4,49.9,2.2,6.9,32.3,4.5,5.9,76.5,1.2,7.1,8.3,6.9,3.2,0.9
2022-23,Los Angeles Lakers,Dennis Schroder,50,32.4,13.5,4.4,10.6,41.8,1.2,3.8,32.8,3.4,3.9,87.6,0.3,2.4,2.8,5,1.7,0.8
2022-23,Minnesota Timberwolves,Anthony Edwards,79,36,24.6,8.9,19.5,45.9,2.7,7.3,36.9,4,5.3,75.6,0.6,5.2,5.8,4.4,3.3,1.6
2022-23,Minnesota Timberwolves,Jaden McDaniels,79,30.6,12.1,4.7,9.1,51.7,1.4,3.4,39.8,1.3,1.8,73.6,1.2,2.7,3.9,1.9,1.4,0.9
2022-23,Minnesota Timberwolves,Rudy Gobert,70,30.7,13.4,5.1,7.8,65.9,0,0,0,3.1,4.9,64.4,3.3,8.3,11.6,1.2,1.7,0.8
2022-23,Minnesota Timberwolves,Mike Conley,66,30.4,11.8,3.9,9.1,42.6,2,5.2,38.4,2.1,2.5,83.2,0.5,2.2,2.7,6.7,1.5,1.1
2022-23,Minnesota Timberwolves,Kyle Anderson,46,30.6,10.5,4,7.9,51.2,0.8,1.7,46.1,1.7,2.3,71,1,4.6,5.6,5.5,1.5,1.2
2022-23,New York Knicks,Julius Randle,77,35.5,25.1,8.5,18.6,45.9,2.8,8.3,34.3,5.2,6.9,75.7,1.8,8.1,10,4.1,2.8,0.6
2022-23,New York Knicks,RJ Barrett,73,33.9,19.6,7,16.1,43.4,1.7,5.3,31,4,5.4,74,0.8,4.2,5,2.8,2.2,0.4
2022-23,New York Knicks,Jalen Brunson,68,35,24,8.6,17.6,49.1,2,4.7,41.6,4.8,5.8,82.9,0.6,3,3.5,6.2,2.1,0.9
2022-23,New York Knicks,Quentin Grimes,66,31.7,11.9,4.2,9,46.9,2.3,6,38.6,1.2,1.5,79.6,0.7,2.7,3.4,2.3,1,0.7
2022-23,New York Knicks,Mitchell Robinson,58,27.1,7.5,3.2,4.8,67.3,0,0,0,1,2.1,48.4,4.6,4.9,9.5,0.9,0.7,0.9
2022-23,Oklahoma City Thunder,Josh Giddey,76,31.1,16.6,7.1,14.7,48.2,1,3.1,32.5,1.4,1.9,73.1,1.9,5.9,7.9,6.2,2.8,0.8
2022-23,Oklahoma City Thunder,Luguentz Dort,73,30.9,13.6,4.6,11.9,38.4,1.8,5.6,32.5,2.7,3.5,77.6,1.7,3,4.7,2.1,1.3,1
2022-23,Oklahoma City Thunder,Shai Gilgeous-Alexander,68,35.5,31.4,10.4,20.3,51,0.9,2.5,34.5,9.8,10.9,90.5,0.9,4,4.8,5.5,2.8,1.6
2022-23,Oklahoma City Thunder,Jalen Williams,62,31.8,15,5.9,11.3,52.1,1,2.8,37.1,2.2,2.6,81.7,1.3,3.7,4.9,3.5,1.6,1.5
2022-23,Oklahoma City Thunder,Jaylin Williams,36,20.9,6.2,2.1,5.3,40.5,1,2.7,38.1,0.9,1.3,69.6,0.9,4.7,5.6,1.7,0.8,0.6
2022-23,Phoenix Suns,Torrey Craig,79,24.7,7.4,2.9,6.3,0.456,1.3,3.2,0.395,0.4,0.6,0.711,1.8,3.6,5.4,1.5,0.9,0.6
2022-23,Phoenix Suns,Damion Lee,74,20.4,8.2,2.7,6.1,0.442,1.5,3.3,0.445,1.3,1.4,0.904,0.5,2.5,3,1.3,1.1,0.4
2022-23,Phoenix Suns,Josh Okogie,72,18.8,7.3,2.3,5.8,0.391,0.9,2.7,0.335,1.9,2.7,0.724,1.5,2,3.5,1.5,0.9,0.8
2022-23,Phoenix Suns,Jock Landale,69,14.2,6.6,2.6,4.9,0.528,0.3,1.2,0.25,1.1,1.5,0.752,1.7,2.3,4.1,1,0.9,0.2
2022-23,Phoenix Suns,Deandre Ayton,67,30.4,18,7.8,13.2,0.589,0.1,0.4,0.292,2.3,3,0.76,2.6,7.4,10,1.7,1.8,0.6
