Year,Teams,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL
2020-21,Indiana Pacers,Malcolm Brogdon,56,34.5,21.2,7.9,17.5,45.3,2.6,6.7,38.8,2.7,3.2,86.4,1,4.2,5.3,5.9,2.1,0.9
2020-21,Indiana Pacers,Doug McDermott,66,24.5,13.6,5.4,10.1,53.2,1.7,4.3,38.8,1.2,1.5,81.6,0.9,2.4,3.3,1.3,0.8,0.3
2020-21,Indiana Pacers,Justin Holiday,72,30.3,10.5,3.6,8.7,41.3,2.4,6.3,38.2,0.9,1.2,78.8,0.4,3.1,3.6,1.7,0.8,1
2020-21,Indiana Pacers,Domantas Sabonis,62,36,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,2.4,9.5,12,6.7,3.4,1.2
2020-21,Indiana Pacers,Myles Turner,47,31,12.6,4.4,9.2,47.7,1.5,4.4,33.5,2.4,3,78.2,1.3,5.2,6.5,1,1.4,0.9
2020-21,Los Angeles Lakers,Lebron James,45,33.4,25,9.4,18.3,51.3,2.3,6.3,36.5,4,5.7,69.8,0.6,7,7.7,7.8,3.7,1.1
2020-21,Los Angeles Lakers,Anthony Davis,36,32.3,21.8,8.4,17,49.1,0.7,2.8,26,4.4,5.9,73.8,1.7,6.2,7.9,3.1,2.1,1.3
2020-21,Los Angeles Lakers,Dennis Schroder,61,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4,84.8,0.5,3,3.5,5.8,2.7,1.1
2020-21,Los Angeles Lakers,Marc Gasol,52,19.1,5,1.7,3.7,45.4,1,2.3,41,0.7,1,72,0.7,3.4,4.1,2.1,1,0.5
2020-21,Los Angeles Lakers,Kentavious Caldwell-Pope,67,28.4,9.7,3.3,7.6,43.1,1.8,4.4,41,1.4,1.7,86.6,0.4,2.3,2.7,1.9,1,0.9
2020-21,Minnesota Timberwolves,Anthony Edwards,72,32.1,19.3,7,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,0.8,3.8,4.7,2.9,2.2,1.1
2020-21,Minnesota Timberwolves,Karl-Anthony Towns,50,33.8,24.8,8.5,17.5,48.6,2.4,6.3,38.7,5.3,6.2,85.9,2.7,7.9,10.6,4.5,3.2,0.8
2020-21,Minnesota Timberwolves,Ricky Rubio,68,26.1,8.6,2.8,7.3,38.8,1,3.1,30.8,1.9,2.2,86.7,0.4,2.9,3.3,6.4,1.6,1.4
2020-21,Minnesota Timberwolves,Malik Beasley,37,32.8,19.6,7.1,16.2,44,3.5,8.7,39.9,1.8,2.2,85,0.8,3.6,4.4,2.4,1.6,0.8
2020-21,Minnesota Timberwolves,D'Angelo Russell,42,28.5,19,6.7,15.5,43.1,2.9,7.4,38.7,2.7,3.5,76.5,0.4,2.3,2.6,5.8,2.7,1.1
2020-21,New York Knicks,Julius Randle,71,37.6,24.1,8.5,18.6,45.6,2.3,5.5,41.1,4.9,6,81.1,1.2,9,10.2,6,3.4,0.9
2020-21,New York Knicks,R.J. Barrett,72,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,0.9,4.8,5.8,3,1.9,0.7
2020-21,New York Knicks,Elfrid Payton,63,23.6,10.1,4.3,9.9,43.2,0.4,1.6,28.6,1.2,1.7,68.2,1,2.4,3.4,3.2,1.6,0.7
2020-21,New York Knicks,Mitchell Robinson,31,27.5,8.3,3.7,5.7,65.3,0,0,0,0.8,1.7,49.1,3.6,4.5,8.1,0.5,0.8,1.1
2020-21,New York Knicks,Reggie Bullock,65,30,10.9,3.8,8.6,44.2,2.5,6.1,41,0.8,0.8,90.9,0.2,3.2,3.4,1.5,0.7,0.8
2020-21,Oklahoma City Thunder,Isaiah Roby,61,23.4,8.7,3.4,7,48.3,0.5,1.8,29.4,1.4,1.9,74.4,1.5,4.1,5.6,1.8,1.9,0.9
2020-21,Oklahoma City Thunder,Shai Gilgeous-Alexander,35,33.7,23.7,8.2,16.1,50.8,2,4.9,41.8,5.3,6.5,80.8,0.5,4.2,4.7,5.9,3,0.8
2020-21,Oklahoma City Thunder,Darius Bazley,55,31.2,13.7,5,12.5,39.6,1.5,5.2,29,2.3,3.2,70.2,0.9,6.3,7.2,1.8,2.2,0.5
2020-21,Oklahoma City Thunder,Luguentz Dort,52,29.7,14,4.8,12.3,38.7,2.2,6.3,34.3,2.3,3.2,74.4,0.7,2.9,3.6,1.7,1.5,0.9
2020-21,Oklahoma City Thunder,Al Horford,28,27.9,14.2,5.8,12.9,45,2,5.4,36.8,0.6,0.8,81.8,1,5.7,6.7,3.4,1,0.9
2020-21,Phoenix Suns,Devin Booker,67,33.9,25.6,9.3,19.2,48.4,1.9,5.5,34,5.1,5.9,86.7,0.5,3.7,4.2,4.3,3.1,0.8
2020-21,Phoenix Suns,Chris Paul,70,31.4,16.4,6.3,12.6,49.9,1.5,3.7,39.5,2.4,2.6,93.4,0.4,4.1,4.5,8.9,2.2,1.4
2020-21,Phoenix Suns,Mikal Bridges,72,32.6,13.5,5,9.3,54.3,1.9,4.4,42.5,1.5,1.8,84,1.1,3.2,4.3,2.1,0.8,1.1
2020-21,Phoenix Suns,Deandre Ayton,69,30.6,14.4,6.2,10,62.6,0.1,0.3,20,1.9,2.5,76.9,3.3,7.2,10.5,1.4,1.5,0.6
2020-21,Phoenix Suns,Cameron Johnson,60,24,9.6,3.4,8.1,42,2,5.6,34.9,0.8,1,84.7,0.6,2.8,3.3,1.4,0.7,0.6
2021-22,Atlanta Hawks,Trae Young,76,34.9,28.4,9.4,20.3,46,3.1,8,38.2,6.6,7.3,90.4,0.7,3.1,3.7,9.7,4,0.9
2021-22,Atlanta Hawks,Clint Capela,73,27.6,11.2,5,8.2,61.1,0,0,0,1.1,2.3,47.3,3.8,8.1,11.9,1.2,0.6,0.8
2021-22,Atlanta Hawks,Kevin Huerter,60,31,12.9,4.9,10.7,46.3,2.5,5.9,41.3,0.6,0.6,86.8,0.4,2.9,3.4,2.9,1.2,0.8
2021-22,Atlanta Hawks,John Collins,53,30.9,16.4,6.3,12,52.8,1.2,3.3,37,2.5,3.2,79.6,1.8,6.1,7.8,1.8,1.1,0.6
2021-22,Atlanta Hawks,De'Andre Hunter,52,29.9,13.3,4.8,10.8,44.3,1.4,3.7,37.2,2.4,3.1,75.9,0.5,2.9,3.4,1.3,1.3,0.7
2021-22,Chicago Bulls,DeMar DeRozan,76,36.1,27.9,10.2,20.2,50.4,0.7,1.9,35.2,6.8,7.8,87.7,0.7,4.4,5.2,4.9,2.4,0.9
2021-22,Chicago Bulls,Nikola Vucevic,73,33.1,17.6,7.5,15.8,47.3,1.4,4.5,31.4,1.3,1.7,76,1.9,9.1,11,3.2,1.9,1
2021-22,Chicago Bulls,Zach LaVine,67,34.7,24.4,8.4,17.7,47.6,2.8,7.1,38.9,4.8,5.6,85.3,0.3,4.3,4.6,4.5,2.6,0.6
2021-22,Chicago Bulls,Javonte Green,45,26.2,7.8,3,5.6,53.1,0.6,1.8,33.8,1.2,1.5,81.2,1.6,3,4.7,1.1,0.5,1.1
2021-22,Chicago Bulls,Ayo Dosunmu,40,34.8,10.9,4.5,8.6,52.3,1.1,3,35.5,0.8,1.1,78.6,0.3,3.2,3.6,5.4,1.9,1.1
2021-22,Dallas Mavericks,Dorian Finney-Smith,80,33,11,4.1,8.7,47.1,2.2,5.4,39.5,0.7,1,67.5,1.5,3.2,4.7,1.9,1,1.1
2021-22,Dallas Mavericks,Dwight Powell,71,23.1,9.3,3.5,5.3,67,0.2,0.5,36.1,2,2.6,77.5,2.2,3,5.2,1.3,0.9,0.5
2021-22,Dallas Mavericks,Luka Doncic,65,35.4,28.4,9.9,21.6,45.7,3.1,8.8,35.3,5.6,7.5,74.4,0.9,8.3,9.1,8.7,4.5,1.2
2021-22,Dallas Mavericks,Jalen Brunson,61,33.3,17.5,6.8,13.6,50.2,1.3,3.3,38.8,2.6,3,85.3,0.5,3.6,4.1,5,1.7,0.9
2021-22,Dallas Mavericks,Spencer Dinwiddie,51,31,13.9,4.5,11.7,39,1.7,5.3,32.5,3.1,3.8,81.4,0.8,3.8,4.6,5.6,1.7,0.7
2021-22,Golden State Warriors,Kevon Looney,80,21.1,5.9,2.5,4.5,56.7,0,0,0,0.9,1.5,59.7,2.5,4.8,7.3,2,0.8,0.6
2021-22,Golden State Warriors,Andrew Wiggins,73,31.9,17.2,6.5,14,46.6,2.2,5.5,39.3,2,3.2,63.4,1.2,3.3,4.5,2.2,1.5,1
2021-22,Golden State Warriors,Stephen Curry,64,34.5,25.5,8.4,19.1,43.7,4.5,11.7,38,4.3,4.7,92.3,0.5,4.7,5.2,6.3,3.2,1.3
