Year,Teams,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,
2019-20,New York Knicks,,,,,,,,,,,,,,,,,,,,
2019-20,New York Knicks,,,,,,,,,,,,,,,,,,,,
2019-20,New York Knicks,,,,,,,,,,,,,,,,,,,,
2019-20,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2019-20,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2019-20,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2019-20,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2019-20,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2019-20,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2019-20,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2019-20,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2019-20,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2019-20,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2020-21,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,
2020-21,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,
2020-21,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,
2020-21,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,
2020-21,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,
2020-21,Chicago Bulls,,,,,,,,,,,,,,,,,,,,
2020-21,Chicago Bulls,,,,,,,,,,,,,,,,,,,,
2020-21,Chicago Bulls,,,,,,,,,,,,,,,,,,,,
2020-21,Chicago Bulls,,,,,,,,,,,,,,,,,,,,
2020-21,Chicago Bulls,,,,,,,,,,,,,,,,,,,,
2020-21,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,
2020-21,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,
2020-21,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,
2020-21,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,
2020-21,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,
2020-21,Golden State Warriors,,,,,,,,,,,,,,,,,,,,
2020-21,Golden State Warriors,,,,,,,,,,,,,,,,,,,,
2020-21,Golden State Warriors,,,,,,,,,,,,,,,,,,,,
2020-21,Golden State Warriors,,,,,,,,,,,,,,,,,,,,
2020-21,Golden State Warriors,,,,,,,,,,,,,,,,,,,,
2020-21,Indiana Pacers,,,,,,,,,,,,,,,,,,,,
2020-21,Indiana Pacers,,,,,,,,,,,,,,,,,,,,
2020-21,Indiana Pacers,,,,,,,,,,,,,,,,,,,,
2020-21,Indiana Pacers,,,,,,,,,,,,,,,,,,,,
2020-21,Indiana Pacers,,,,,,,,,,,,,,,,,,,,
2020-21,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,
2020-21,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,
2020-21,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,
2020-21,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,
2020-21,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,
2020-21,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,
2020-21,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,
2020-21,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,
2020-21,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,
2020-21,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,
2020-21,New York Knicks,,,,,,,,,,,,,,,,,,,,
2020-21,New York Knicks,,,,,,,,,,,,,,,,,,,,
2020-21,New York Knicks,,,,,,,,,,,,,,,,,,,,
2020-21,New York Knicks,,,,,,,,,,,,,,,,,,,,
2020-21,New York Knicks,,,,,,,,,,,,,,,,,,,,
2020-21,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2020-21,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2020-21,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2020-21,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2020-21,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2020-21,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
