Season,Team ,Name, Salary , Incentative 
2022,OK City Thunder,Luguentz Dort,"$15,277,778.00 ",
2022,OK City Thunder,Chet Holmgren,"$9,891,240.00 ",
2022,OK City Thunder,Dario Saric,"$9,240,000.00 ",
2022,OK City Thunder,Josh Giddey,"$6,287,400.00 ",
2022,Phoenix Suns,Kevin Durant,"$42,969,845.00 ",
2022,Phoenix Suns,Devin Booker,"$33,833,400.00 ",
2022,Phoenix Suns,Deandre Ayton,"$30,913,750.00 ",
2022,Phoenix Suns,Chris Paul,"$28,400,000.00 ",
2022,Phoenix Suns,Landry Shamet,"$9,500,000.00 ",
2021,Atlanta Hawk,John Collins,"$23,000,000.00 ",
2021,Atlanta Hawk,Danilo Gallinari,"$20,475,000.00 ",
2021,Atlanta Hawk,Bogdan Bogdanovic,"$18,000,000.00 ",
2021,Atlanta Hawk,Clint Capela,"$17,103,448.00 ",
2021,Atlanta Hawk,Delon Wright,"$8,526,316.00 ",
2021,Chicago Bulls,DeMar DeRozan,"$26,000,000.00 ",
2021,Chicago Bulls,Nikola Vucevic,"$24,000,000.00 ",
2021,Chicago Bulls,Zach LaVine,"$19,500,000.00 ",
2021,Chicago Bulls,Lonzo Ball,"$18,604,651.00 ",
2021,Chicago Bulls,Derrick Jones Jr.,"$9,720,900.00 ",
2021,Dallas Mavericks,Tim Hardaway Jr.,"$21,306,816.00 ",
2021,Dallas Mavericks,Spencer Dinwiddie,"$17,142,857.00 ",
2021,Dallas Mavericks,Davis Bertans,"$16,000,000.00 ",
2021,Dallas Mavericks,Dwight Powell,"$11,080,125.00 ",
2021,Dallas Mavericks,Luka Doncic,"$10,174,391.00 ",
2021,Golden State Warriors,Stephen Curry,"$45,780,966.00 ",
2021,Golden State Warriors,Klay Thompson,"$37,980,720.00 ",
2021,Golden State Warriors,Andrew Wiggins,"$31,579,390.00 ",
2021,Golden State Warriors,Draymond Green,"$24,026,712.00 ",
2021,Golden State Warriors,James Wiseman,"$9,166,800.00 ",
2021,Indiana Pacers,Buddy Hield,"$22,477,272.00 ",
2021,Indiana Pacers,Malcolm Brogdon,"$21,700,000.00 ",
2021,Indiana Pacers,Ricky Rubio,"$17,800,000.00 ",
2021,Indiana Pacers,Myles Turner,"$17,500,000.00 ",
