Year,Team ,Player,Salary,Bonus
2022,Seattle Storm,Gabby Williams,"$144,000.00 ",
2022,Seattle Storm,Briann January,"$140,000.00 ",
2021,Atlanta Dream,Courtney Williams,"$190,500.00 ",
2021,Atlanta Dream,Cheyenne Parker,"$185,000.00 ",
2021,Atlanta Dream,Shekinna Stricklen,"$175,100.00 ",
2021,Atlanta Dream,Tianna Hawkins,"$140,000.00 ",
2021,Atlanta Dream,Tiffany Hayes,"$119,780.00 ",
2021,Chicago Sky,Courtney Vandersloot,"$200,000.00 ",
2021,Chicago Sky,Allie Quigley,"$194,000.00 ",
2021,Chicago Sky,Candace Parker,"$190,000.00 ",
2021,Chicago Sky,Stefanie Dolson,"$175,000.00 ",
2021,Chicago Sky,Kahleah Copper,"$165,000.00 ",
2021,Dallas Wings,Moriah Jefferson,"$175,100.00 ",
2021,Dallas Wings,Allisha Gray,"$160,000.00 ",
2021,Dallas Wings,Isabelle Harrison,"$154,500.00 ",
2021,Dallas Wings,Kayla Thornton,"$89,200.00 ",
2021,Dallas Wings,Charli Collier,"$70,040.00 ",
2021,Indiana Fever,Jantel Lavender,"$175,000.00 ",
2021,Indiana Fever,Danielle Robinson,"$155,000.00 ",
2021,Indiana Fever,Jessica Breland,"$145,000.00 ",
2021,Indiana Fever,Tiffany Mitchell,"$144,200.00 ",
2021,Indiana Fever,Lindsay Allen,"$70,040.00 ",
2021,Los Angeles Sparks,Nneka Ogwumike,"$190,550.00 ",
2021,Los Angeles Sparks,Kristi Toliver,"$190,550.00 ",
2021,Los Angeles Sparks,Erica Wheeler,"$180,000.00 ",
2021,Los Angeles Sparks,Amanda Zahui B,"$135,000.00 ",
2021,Los Angeles Sparks,Chiney Ogwumike,"$113,000.00 ",
2021,Las Vegas Aces,Liz Cambage,"$221,450.00 ",
2021,Las Vegas Aces,Chelsea Gray,"$190,550.00 ",
2021,Las Vegas Aces,Angel McCoughtry,"$190,500.00 ",
2021,Las Vegas Aces,Kelsey Plum,"$175,000.00 ",
2021,Las Vegas Aces,Dearica Hamby,"$152,300.00 ",
2021,Minnesota Lynx,Kayla McBride,"$190,550.00 ",
