Year,Player,Team,Position,Age,Contract,BS,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
2020-2021,Fred VanVleet, TOR,PG,26,4,21250000,52,36.5,0.389,0.885,3.3,4.2,6.3,1.7,0.7,1.8,19.6
2020-2021,Giannis Antetokounmpo, MIL,PF,26,4,27528090,61,33,0.569,0.685,1.1,11,5.9,1.2,1.2,3.4,28.1
2020-2021,Gordon Hayward, CHA,SF,30,4,28500000,44,34,0.473,0.843,1.9,5.9,4.1,1.2,0.3,2.1,19.6
2020-2021,Harrison Barnes, SAC,PF,28,4,22215909,58,36.2,0.497,0.83,1.7,6.6,3.5,0.7,0.2,1.6,16.1
2020-2021,Jamal Murray, DEN,PG,23,5,27285000,48,35.5,0.477,0.869,2.7,4,4.8,1.3,0.3,2.3,21.2
2020-2021,James Harden, BKN,SG,31,4,41254920,44,36.6,0.466,0.861,2.8,7.9,10.8,1.2,0.8,4,24.6
2020-2021,Jaylen Brown, BOS,SG,24,4,23735118,58,34.5,0.484,0.764,2.8,6,3.4,1.2,0.6,2.7,24.7
2020-2021,Jimmy Butler, MIA,SF,31,4,34379100,52,33.6,0.497,0.863,0.5,6.9,7.1,2.1,0.3,2.1,21.5
2020-2021,Joel Embiid, PHI,C,26,5,29542010,51,31.1,0.513,0.859,1.1,10.6,2.8,1,1.4,3.1,28.5
2020-2021,John Wall, HOU,PG,30,4,41254920,40,32.2,0.404,0.749,2,3.2,6.9,1.1,0.8,3.5,20.6
2020-2021,Jrue Holiday, MIL,PG,30,5,26231111,59,32.3,0.503,0.787,1.9,4.5,6.1,1.6,0.6,2.2,17.7
2020-2021,Karl-Anthony Towns, MIN,C,25,5,29467800,50,33.8,0.486,0.859,2.4,10.6,4.5,0.8,1.1,3.2,24.8
2020-2021,Kawhi Leonard, LAC,SF,29,3,34379100,52,34.1,0.512,0.885,1.9,6.5,5.2,1.6,0.4,2,24.8
2020-2021,Kemba Walker, BOS,PG,30,4,34379100,43,31.8,0.42,0.899,3,4,4.9,1.1,0.3,2,19.3
2020-2021,Kevin Durant, BKN,SF,32,4,40108950,35,33.1,0.537,0.882,2.4,7.1,5.6,0.7,1.3,3.4,26.9
2020-2021,Kevin Love, CLE,PF,32,4,31258256,25,24.9,0.409,0.824,2.3,7.4,2.5,0.6,0.1,1.5,12.2
2020-2021,Khris Middleton, MIL,SF,29,5,33051724,68,33.4,0.476,0.898,2.2,6,5.4,1.1,0.1,2.6,20.4
2020-2021,Klay Thompson, GSW,SG,30,5,35361360,58,31.1,0.408,0.783,2.8,2.6,1.4,1,0.2,0.7,15.3
2020-2021,Kristaps Porzingis, DAL,PF,25,5,29467800,43,30.9,0.476,0.855,2.3,8.9,1.6,0.5,1.3,1.2,20.1
2020-2021,Kyle Lowry, TOR,PG,34,1,30500000,46,34.8,0.436,0.875,2.8,5.4,7.3,1,0.3,2.7,17.2
2020-2021,Kyrie Irving, BKN,PG,28,4,31742000,54,34.9,0.506,0.922,2.8,4.8,6,1.4,0.7,2.4,26.9
2020-2021,LeBron James, LAL,SF,36,4,39219565,45,33.4,0.513,0.698,2.3,7.7,7.8,1.1,0.6,3.7,25
2020-2021,Malcolm Brogdon, IND,PG,28,4,20000000,56,34.5,0.453,0.864,2.6,5.3,5.9,0.9,0.3,2.1,21.2
2020-2021,Mike Conley, UTA,PG,33,5,34502130,51,29.4,0.444,0.852,2.7,3.5,6,1.4,0.2,1.9,16.2
2020-2021,Nikola Jokic, DEN,C,25,5,29542010,72,34.6,0.566,0.868,1.3,10.8,8.3,1.3,0.7,3.1,26.4
2020-2021,Nikola Vucevic, CHI,C,30,4,26000000,70,33.5,0.477,0.84,2.5,11.7,3.8,0.9,0.7,1.8,23.4
2020-2021,Otto Porter Jr., ORL,SF,27,4,28489237,28,21.7,0.432,0.857,1.4,5.4,2,0.6,0.1,0.9,9.7
2020-2021,Pascal Siakam, TOR,PF,26,4,30559200,56,35.8,0.455,0.827,1.3,7.2,4.5,1.1,0.7,2.3,21.4
2020-2021,Paul George, LAC,SF,30,4,35450412,54,33.7,0.467,0.868,3.2,6.6,5.2,1.1,0.4,3.3,23.3
2020-2021,Rudy Gobert, UTA,C,28,4,27525281,71,30.8,0.675,0.623,0,13.5,1.3,0.6,2.7,1.7,14.3
2020-2021,Russell Westbrook, WAS,PG,32,5,41358814,65,36.4,0.439,0.656,1.3,11.5,11.7,1.4,0.4,4.8,22.2
2020-2021,Stephen Curry, GSW,PG,32,5,43006362,63,34.2,0.482,0.916,5.3,5.5,5.8,1.2,0.1,3.4,32
2020-2021,Steven Adams, NOP,C,27,4,29592696,58,27.7,0.614,0.444,0,8.9,1.9,0.9,0.7,1.3,7.6
2020-2021,Tim Hardaway Jr., DAL,SF,28,4,20025127,70,28.4,0.447,0.816,3,3.3,1.8,0.4,0.2,0.9,16.6
2020-2021,Tobias Harris, PHI,PF,28,5,34358850,62,32.5,0.512,0.892,1.3,6.8,3.5,0.9,0.8,1.7,19.5
2020-2021,Victor Oladipo, MIA,SG,28,4,21000000,33,32.7,0.408,0.754,2.4,4.8,4.6,1.4,0.4,2.5,19.8
