Year,Player,Team,Position,Age,Contract,BS,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
2020-2021,Al Horford, OKC,C,34,4,27500000,28,27.9,0.45,0.818,2,6.7,3.4,0.9,0.9,1,14.2
2020-2021,Andrew Wiggins, GSW,SF,25,5,29542010,71,33.3,0.477,0.714,2,4.9,2.4,0.9,1,1.8,18.6
2020-2021,Anthony Davis, LAL,PF,27,5,32742000,36,32.3,0.491,0.738,0.7,7.9,3.1,1.3,1.6,2.1,21.8
2020-2021,Ben Simmons, PHI,PG,24,5,30559200,58,32.4,0.557,0.613,0.1,7.2,6.9,1.6,0.6,3,14.3
2020-2021,Bradley Beal, WAS,SG,27,5,28751775,60,35.8,0.485,0.889,2.2,4.7,4.4,1.2,0.4,3.1,31.3
2020-2021,Brandon Ingram, NOP,SF,23,5,27285000,61,34.3,0.466,0.878,2.3,4.9,4.9,0.7,0.6,2.5,23.8
2020-2021,Buddy Hield, SAC,SG,28,4,24701834,71,34.3,0.406,0.846,4,4.7,3.6,0.9,0.4,1.8,16.6
2020-2021,C.J. McCollum, POR,SG,29,4,41358814,47,34,0.458,0.812,3.6,3.9,4.7,0.9,0.4,1.4,23.1
2020-2021,Chris Paul, PHX,PG,35,4,29354152,70,31.4,0.499,0.934,1.5,4.5,8.9,1.4,0.3,2.2,16.4
2020-2021,Damian Lillard, POR,PG,30,5,31626953,67,35.8,0.451,0.928,4.1,4.2,7.5,0.9,0.3,3,28.8
2020-2021,D'Angelo Russell, MIN,PG,24,4,28649250,42,28.5,0.431,0.765,2.9,2.6,5.8,1.1,0.4,2.7,19
2020-2021,DeMar DeRozan, SAS,SG,31,5,27739975,61,33.7,0.495,0.88,0.3,4.2,6.9,0.9,0.2,2,21.6
2020-2021,Devin Booker, PHX,SG,24,5,29467800,67,33.9,0.484,0.867,1.9,4.2,4.3,0.8,0.2,3.1,25.6
2020-2021,Draymond Green, GSW,PF,30,4,22246956,63,31.5,0.447,0.795,0.5,7.1,8.9,1.7,0.8,3,7
