Year,Player,Team,Position,Age,Contract,BS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
2020,Jazmine Jones, NY,G,23,3,196378,20,21.4,10.8,3.5,8.6,40.4,0.8,2.3,33.3,3.2,4,78.8,0.9,3.2,4.1,2.3,1.4,0.5,2.9
2020,Jessica Breland, PHX,F,32,3,117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Jewell Loyd, SEA,G,26,3,119500,22,27.9,15.5,5.1,11.5,44.3,1.8,4.5,39,3.5,4,87.5,0.6,1.7,2.4,3.2,1.5,0.3,1.9
2020,Jonquel Jones, CON,F,26,2,185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Kahleah Copper, CHI,G,25,2,165000,22,31.3,14.8,6,12.1,49.6,1,2.8,34.4,1.9,2.5,73.2,1,4.5,5.5,2.1,1,0.2,2.5
2020,Kayla McBride, LV,G,28,2,117000,22,26.6,12.5,4.1,9.6,42.5,1.1,3.3,34.2,3.2,3.5,89.7,0.4,1.9,2.3,2.4,1.2,0.1,1.4
2020,Kristi Toliver, LA,G,33,3,185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,LaToya Sanders, WAS,F,33,2,117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Layshia Clarendon, NY,G,29,2,120000,19,26.1,11.5,3.9,8.4,46.5,0.8,2.3,34.1,2.9,3.3,87.3,0.3,2.2,2.5,3.9,0.9,0,3.4
2020,Leilani Mitchell, WAS,G,35,2,127000,22,30.6,9.5,3.3,8.1,40.8,1.3,4.3,30.5,1.5,1.8,87.2,0.5,2.3,2.8,5.4,0.8,0,1.7
2020,Maya Moore, MIN,F,31,2,117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Moriah Jefferson, DAL,G,26,3,170000,9,16.7,5,2,4.8,41.9,0.2,0.7,33.3,0.8,1.3,58.3,0.9,2.2,3.1,2.1,0.8,0.2,1.7
2020,Natasha Cloud, WAS,G,28,2,117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Natasha Howard, SEA,F,28,3,117000,22,21,9.5,4,7.5,53,0.3,0.9,35,1.3,1.6,77.8,2.4,4.7,7.1,1,1.7,0.6,2.1
2020,Nneka Ogwumike, LA,F,30,4,117000,18,26.2,13.3,5.3,9.3,56.9,0.5,1,50,2.3,2.7,83.7,1.2,3.7,4.8,1.7,1.1,0.2,1.6
2020,Odyssey Sims, MIN,G,28,3,117000,13,18.5,9.4,3.2,8,40.4,0.6,1.8,33.3,2.3,2.5,90.9,0.6,1.4,2,3.5,0.5,0.1,1.9
2020,Shekinna Stricklen, ATL,F,30,2,170000,22,21.7,6.1,2.1,6.3,34.1,1.5,4.5,33.3,0.4,0.4,100,0.2,1.7,1.9,0.6,0.3,0,0.7
2020,Skylar Diggins-Smith, PHX,G,30,4,215000,22,30.7,17.7,5.8,12.2,47.4,2.1,5.3,39.7,4.1,4.5,90,0.5,2.8,3.3,4.2,0.9,0.5,3.2
2020,Stefanie Dolson, CHI,C,28,2,180250,15,18.2,6.4,2.3,4.7,49.3,0.8,2.1,37.5,0.9,1.3,73.7,0.7,2.7,3.5,1.7,0.4,0.9,1
2020,Sue Bird, SEA,G,39,1,215000,11,23.4,9.8,3.7,7.5,49.4,2.1,4.5,46.9,0.3,0.4,75,0.1,1.6,1.7,5.2,0.6,0.2,1.6
2020,Sylvia Fowles, MIN,C,34,3,115627,7,24.1,14.6,5.6,9.1,60.9,0,0,0,3.4,4.1,82.8,3,6.7,9.7,0.9,0.9,1.1,1.1
2020,Tiffany Hayes, ATL,G,30,4,117520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Tiffany Mitchell, IND,G,25,3,140000,19,26.4,12.7,3.9,11.3,34.6,0.9,3.8,23.3,4.1,4.3,95.1,0.8,2.6,3.4,2.6,0.6,0.1,2.4
2020,Tina Charles, WAS,C,31,3,175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
