Year,Player,Team,Position,Age,Contract,BS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
2020,Allie Quigley, CHI,G,34,2,200000,22,28.7,15.4,5.9,13.1,44.8,2.1,6,34.6,1.5,1.7,91.9,0.3,2.6,2.9,2.3,0.6,0.3,1.3
2020,Alyssa Thomas, CON,F,28,3,117000,21,32.8,15.5,5.8,11.6,50,0,0,0,3.9,5.6,68.6,1.9,7.2,9,4.8,2,0.3,2.5
2020,Angel McCoughtry, LV,F,33,2,185000,22,20,14.4,5.3,10.3,51.8,0.7,1.5,47.1,3,3.5,88.2,1.7,3.4,5.1,2.5,1.3,0.3,1.7
2020,Astou Ndour, DAL,C,25,3,185000,13,11.6,3.5,1.5,4.4,35.1,0.5,1.9,24,0,0,0,1,1.9,2.9,0.5,0.2,0.5,0.5
2020,Breanna Stewart, SEA,F,25,2,185000,20,30.4,19.7,6.7,14.8,45.1,1.8,4.8,36.8,4.7,5.2,89.4,1,7.3,8.3,3.6,1.7,1.3,2.5
2020,Bria Hartley, PHX,G,27,3,185000,13,24.8,14.6,5.1,12.1,42,1.9,5,38.5,2.5,3.2,80.5,0.4,2.5,2.9,4.5,1.2,0,2.1
2020,Bria Holmes, CON,G,26,1,130000,18,16.2,4.9,1.9,5.4,35.7,0.6,1.7,33.3,0.4,0.7,66.7,0.7,1.1,1.8,1.1,0.7,0.3,1
2020,Briann January, CON,G,33,3,119500,13,23.3,5,1.7,5.8,29.3,0.8,2.3,36.7,0.8,0.9,83.3,0.3,0.9,1.2,3.4,0.6,0.2,1.2
2020,Brittney Griner, PHX,C,29,3,215000,12,31.8,17.7,7.3,14.6,49.7,0,0.1,0,3.2,3.9,80.9,1.5,6,7.5,3,0.3,1.8,2.5
2020,Candace Parker, LA,F,34,5,119500,22,30,14.7,5.6,11,51,0.9,2.2,39.6,2.6,3.5,73.1,1.7,8,9.7,4.6,1.2,1.2,2.9
2020,Candice Dupree, IND,F,35,3,119500,22,30.2,12.5,5.3,11.4,46.2,0.1,0.8,16.7,1.9,2.2,85.4,1.2,4.5,5.7,2.5,0.7,0.4,1.3
2020,Chelsea Gray, LA,G,27,1,195000,22,30.6,14,5.5,12.5,44.2,0.8,2.7,30.5,2.1,2.2,93.9,0.7,3,3.7,5.3,1.5,0.1,2.7
2020,Chiney Ogwumike, LA,F,28,4,119500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Courtney Vandersloot, CHI,G,31,2,206000,22,31.5,13.6,4.9,9.9,49.1,1.4,3.5,39.5,2.5,2.9,88.9,0.5,3,3.5,10,1.2,0.4,2.5
2020,Courtney Williams, ATL,G,26,2,185000,20,30.5,14.6,6.7,15.4,43.6,0.4,1.7,23.5,0.8,1.2,69.6,1.9,5.3,7.2,3.2,0.7,0.1,2.7
2020,Danielle Robinson, LV,G,31,1,130000,22,22.4,7.4,2.8,5.5,51.2,0.2,0.6,38.5,1.5,1.9,81,0.2,2.2,2.4,3.3,0.9,0.1,1.3
2020,Dearica Hamby, LV,F,26,3,117000,22,28.3,13,5,9.3,53.9,0.8,1.7,47.4,2.2,3,71.6,1.3,5.9,7.1,2.7,1.7,0.2,2
2020,DeWanna Bonner, CON,F,32,4,215000,22,33.3,19.7,6.7,16,42.2,1.2,4.9,25.2,5,5.6,89.5,1.5,6.3,7.8,3,1.7,0.5,2.4
2020,Diana Taurasi, PHX,G,38,4,119500,19,28.1,18.7,5.1,12.4,40.9,3.2,8.8,36.5,5.4,5.9,91.2,0.1,4.1,4.2,4.5,1,0.4,2.3
2020,Elena Delle Donne, WAS,F,30,4,215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Elizabeth Williams, ATL,C,27,4,117000,22,29.2,10.1,4,8.1,48.9,0,0,0,2.2,3,74.2,2.2,3.5,5.7,1.4,0.8,1.4,1.1
2020,Emma Meesseman, WAS,F,27,1,215000,20,31.7,13,5.5,12,45.4,0.7,2.3,28.9,1.5,1.8,82.9,1.7,3.7,5.3,4.5,1.2,0.8,2
2020,Glory Johnson, ATL,F,30,1,165000,18,15.1,4.7,1.7,4.6,37.3,0.6,2.3,26.2,0.7,1.3,50,0.4,3.3,3.7,0.6,0.8,0.4,0.7
2020,Isabelle Harrison, DAL,F,26,3,150000,13,19.9,6.4,2.6,5.8,44.7,0,0.2,0,1.2,1.5,78.9,1.5,3.2,4.6,1.4,0.7,0.4,1.4
2020,Jantel Lavender, IND,F,31,4,117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Jasmine Thomas, CON,G,30,2,119500,19,25.5,10.2,4,9.9,40.4,1.1,3.3,33.3,1.1,1.2,91.3,0.2,1.5,1.7,4,1.3,0.3,2.4
