Year,Player,Team,Position,Age,Contract,BS,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
2021-2022,Donovan Mitchell, UTA,SG,25,5,28103500,68,34.5,0.466,0.868,2.7,5,4.8,1.1,0.4,2.4,26.8
2021-2022,Draymond Green, GSW,PF,31,4,24026712,46,28.9,0.525,0.659,0.3,7.3,7,1.3,1.1,3,7.5
2021-2022,Giannis Antetokounmpo, MIL,PF,27,5,39344970,62,34.5,0.573,0.741,0.6,12.1,5.2,1,0.4,3.1,18.9
2021-2022,Gordon Hayward, CHA,SF,31,4,29925000,49,31.9,0.459,0.846,1.8,4.6,3.6,1,0.4,1.7,15.9
2021-2022,Jamal Murray, DEN,PG,24,5,29467800,0,0,0,0,0,0,0,0,0,0,0
2021-2022,James Harden, PHI,SG,32,4,44310840,56,34.7,0.453,0.81,1.6,5,5.9,1.3,0.8,2.8,24.5
2021-2022,Jaylen Brown, BOS,SF,25,4,26758928,75,32.3,0.429,0.872,2.9,6.7,7.6,1.6,0.4,3.3,20.1
2021-2022,Jayson Tatum, BOS,PF,23,5,28103500,29,36.4,0.402,0.878,3.2,4.1,7.3,0.6,0.4,2.9,24
2021-2022,Jimmy Butler, MIA,SF,32,4,36016200,68,35.7,0.462,0.892,2.6,3.3,8.6,1.3,0.1,3.6,21.7
2021-2022,Joel Embiid, PHI,C,27,5,31579390,57,33.9,0.48,0.87,0.5,5.9,5.5,1.6,0.5,2.1,21.4
2021-2022,John Collins, ATL,PF,24,5,23000000,54,30.8,0.526,0.793,1.2,7.8,1.8,0.6,1,1.1,16.2
2021-2022,John Wall, HOU,PG,31,4,44310840,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Jrue Holiday, MIL,PG,31,4,32413333,67,34.7,0.476,0.853,2.8,4.6,4.5,0.6,0.3,2.6,24.4
2021-2022,Julius Randle, NYK,PF,27,3,21780000,66,32.1,0.713,0.69,0,14.7,1.1,0.7,2.1,1.8,15.6
2021-2022,Karl-Anthony Towns, MIN,C,26,5,31650600,55,34,0.461,0.826,1.3,5.8,5.6,0.6,0.5,2.7,22.7
2021-2022,Kawhi Leonard, LAC,SF,30,4,39344900,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Kevin Durant, BKN,SF,33,4,42018900,56,32.6,0.557,0.753,0,10.1,3.4,1.4,0.8,2.6,19.1
2021-2022,Kevin Love, CLE,PF,33,4,31258256,74,22.5,0.43,0.838,2.5,7.2,2.2,0.4,0.2,1.3,13.6
2021-2022,Khris Middleton, MIL,SF,30,5,35500000,65,32.9,0.493,0.837,1,4.4,10.8,1.9,0.3,2.4,14.7
2021-2022,Klay Thompson, GSW,SG,31,5,37980720,32,29.4,0.429,0.902,3.6,3.9,2.8,0.5,0.5,1.3,20.4
2021-2022,Kristaps Porzingis, WAS,PF,26,5,31650600,66,33.6,0.473,0.758,2.5,6.1,3.5,1.1,0.3,2.7,23.6
2021-2022,Kyle Lowry, MIA,PG,35,3,26894128,63,33.9,0.44,0.851,2.3,4.5,7.5,1.1,0.3,2.7,13.4
2021-2022,Kyrie Irving, BKN,PG,29,4,35328700,59,35.3,0.473,0.75,1.3,3.9,5.6,1.2,0.4,2.8,23.2
2021-2022,LeBron James, LAL,PF,37,2,41180544,65,37.9,0.403,0.874,3.7,4.4,6.7,1.7,0.5,2.6,20.3
2021-2022,Malcolm Brogdon, IND,PG,29,4,21700000,74,30.3,0.544,0.82,0.8,11.4,2.6,0.6,0.8,2.4,17.8
2021-2022,Mike Conley, UTA,PG,34,3,21000000,72,28.6,0.435,0.796,2.3,3,5.3,1.3,0.3,1.7,13.7
2021-2022,Nikola Jokic, DEN,C,26,5,31579390,62,34.6,0.46,0.682,2.9,4.3,5.1,1.1,0.4,2,22.1
2021-2022,Nikola Vucevic, CHI,C,31,4,24000000,51,29,0.459,0.867,1.5,8.1,2.3,0.7,1.6,1.6,20.2
2021-2022,Pascal Siakam, TOR,PF,27,4,33003936,67,32.9,0.501,0.761,2,4.5,6.8,1.6,0.4,2.7,18.3
2021-2022,Paul George, LAC,SG,31,4,39344900,56,32.3,0.677,0.708,0,10.8,1.6,0.8,1.3,1.7,16.1
2021-2022,Rudy Gobert, UTA,C,29,5,35344828,78,34.3,0.444,0.667,1,7.4,7.1,1,0.3,3.8,18.5
2021-2022,Russell Westbrook, LAL,PG,33,5,44211146,66,32.4,0.443,0.89,2.5,5.4,5.4,1.2,0.3,2.9,20.1
2021-2022,Stephen Curry, GSW,PG,33,5,45780966,36,33.5,0.448,0.856,1.6,5.1,5.9,0.8,0.4,2.1,19.1
2021-2022,Tim Hardaway Jr., DAL,SF,29,4,21308816,42,29.6,0.394,0.757,2.4,3.7,2.2,0.9,0.1,0.8,14.2
2021-2022,Tobias Harris, PHI,PF,29,5,35995950,73,34.8,0.482,0.842,1.4,6.8,3.5,0.6,0.6,1.6,17.2
