Year,Player,Team,Position,Age,Contract,BS,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
2021-2022,Al Horford, BOS,C,35,4,27000000,69,29.1,0.467,0.842,1.3,7.7,3.4,0.7,1.3,0.9,10.2
2021-2022,Andrew Wiggins, GSW,SF,26,5,31579390,73,31.9,0.466,0.634,2.2,4.5,2.2,1,0.7,1.5,17.2
2021-2022,Anthony Davis, LAL,C,28,5,35361360,74,33.5,0.583,0.81,1.3,13.8,7.9,1.5,0.9,3.8,27.1
2021-2022,Bam Adebayo, MIA,C,24,5,28103500,68,33.8,0.499,0.814,1.4,11.7,4.2,1.1,1.5,3.1,30.6
2021-2022,Ben Simmons, BKN,PG,25,5,33003936,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Bradley Beal, WAS,SG,28,2,33724200,56,37.2,0.524,0.756,2.9,8.2,6.2,1.3,1.1,3.5,30.3
2021-2022,Brandon Ingram, NOP,SF,24,5,29467800,55,37.2,0.518,0.91,2.1,7.4,6.4,0.9,0.9,3.5,29.9
2021-2022,Buddy Hield, IND,SG,29,4,22768890,81,30.9,0.406,0.874,3.2,4.4,2.8,0.9,0.3,1.9,15.6
2021-2022,C.J. McCollum, NOP,SG,30,3,30000000,62,34.6,0.46,0.682,2.9,4.3,5.1,1.1,0.4,2,22.1
2021-2022,Chris Paul, PHX,PG,36,4,30864198,65,35.4,0.457,0.744,3.1,9.1,8.7,1.2,0.6,4.5,28.4
2021-2022,Damian Lillard, POR,PG,31,4,39344900,68,34.8,0.462,0.794,1.4,8.3,9.2,2,0.3,2.6,21.1
2021-2022,D'Angelo Russell, MIN,PG,25,4,30013500,65,32,0.411,0.825,2.7,3.3,7.1,1,0.3,2.5,18.1
2021-2022,De'Aaron Fox, SAC,PG,24,5,28103550,74,33.4,0.529,0.822,2,9.8,3.6,1,1.1,3.1,24.6
2021-2022,DeMar DeRozan, CHI,SF,32,3,26000000,76,36.1,0.504,0.877,0.7,5.2,4.9,0.9,0.3,2.4,27.9
2021-2022,Devin Booker, PHX,SG,25,5,31650600,40,35.1,0.532,0.713,0.3,9.9,3.1,1.2,2.3,2.1,23.2
