Year,Player,Team,Position,Age,Contract,BS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,STL,BLK,TOV,
2021,Jonquel Jones, CON,F,27,2,190500,27,31.7,19.4,7.1,13.8,51.5,1.6,4.3,36.2,3.6,4.5,80.2,2.5,8.7,11.2,2.8,1.3,1.3,2.9,0.3,2.1,13.9,
2021,Kahleah Copper, CHI,G,26,2,165000,32,30.8,14.4,5.4,11.8,45.9,0.8,2.7,30.6,2.8,3.4,81.8,1.2,3,4.2,1.8,0.9,0.3,1.9,0.2,0.1,1.5,
2021,Kayla McBride, MIN,G,29,3,190550,32,31.6,13.7,4.5,10.3,43.3,1.9,5,37.9,2.8,3.1,91,0.3,3.3,3.6,2.3,0.8,0.2,1.1,0.8,2.6,17.5,
2021,Kelsey Plum, LV,G,26,3,175000,26,25.5,14.8,4.9,11.3,43.7,1.7,4.4,38.6,3.3,3.5,94.4,0.4,2.1,2.5,3.6,1,0,1.7,0.8,1.3,8.8,
2021,Kristi Toliver, LA,G,34,3,190550,19,27.6,9.4,3.5,8.5,41.4,1.5,4.4,33.7,0.8,1,84.2,0.4,1,1.4,2.9,0.7,0,1.7,0.1,1.6,12.6,
2021,Leilani Mitchell, WAS,G,36,2,123500,31,23.4,6.4,2.1,5.7,36,1.6,4.5,35.7,0.6,0.7,82.6,0.4,1.6,2,2.5,0.5,0.1,1.1,0.5,1.1,5.6,
2021,Liz Cambage, LV,C,29,1,221450,25,23.8,14.2,5.6,10.3,54.3,0.2,0.6,35.7,2.8,4,71,1.6,6.7,8.2,1.3,0.9,1.6,1.8,0,1.9,9.8,
2021,Moriah Jefferson, DAL,G,27,3,175100,29,17.2,5.4,2.3,5.1,44.9,0.8,1.7,46,0.1,0.2,60,0.4,1.6,2,2.5,0.8,0.2,1.4,0.9,2.2,23,
2021,Natalie Achonwa, MIN,C,28,3,164500,21,12,3.7,1.2,2.9,42.6,0,0,0,1.2,1.3,89.3,0.6,1.6,2.1,1.2,0.6,0.2,0.6,0.6,0.2,0.6,
2021,Natasha Cloud, WAS,G,29,3,190000,27,31.6,8.7,3,7.7,38.9,1,3.5,27.4,1.7,2,83.6,0.4,3.2,3.6,6.4,1.4,0.1,2.2,1.4,0.1,2.2,
2021,Natasha Howard, NY,F,29,4,215000,13,27.5,16.2,6.7,13.5,49.4,0.9,2.8,33.3,1.8,2.4,77.4,2.2,5.1,7.2,1.7,1.3,0.5,3.8,1.3,0.5,3.8,
2021,Nneka Ogwumike, LA,F,31,2,190550,18,31.7,14.5,6.1,11.4,53.2,0.6,1.7,36.7,1.8,2.2,80,1.4,5.1,6.5,2.7,1.4,0.3,2.2,1.4,0.3,2.2,
2021,Sami Whitcomb, NY,G,33,2,150350,30,28.1,11.7,4.1,8.7,47.3,2.5,6,42.5,0.9,1.1,81.8,0.3,4.7,5,2.7,1,0.3,2.1,1,0.3,2.1,
2021,Shekinna Stricklen, ATL,F,31,2,175100,24,9.8,2.5,0.9,3.5,25.9,0.6,2.8,21.2,0.1,0.2,40,0.1,0.8,0.9,0.3,0.4,0.2,0.1,0.4,0.2,0.1,
2021,Skylar Diggins-Smith, PHX,G,31,4,221450,32,32.5,17.7,5.5,12.3,45.2,1.6,4.2,37,5.1,6.2,81.8,0.5,2.6,3.2,5.3,1.1,0.8,2.6,1.1,0.8,2.6,
2021,Stefanie Dolson, CHI,C,29,2,175000,24,20,7.5,3,6.1,48.6,0.8,2,40.4,0.8,0.8,94.7,0.7,2.9,3.5,1.3,0.3,0.8,1.3,0.3,0.8,1.3,
2021,Sue Bird, SEA,G,40,1,221450,30,27.7,10,3.5,8.2,43.1,2.2,5.3,41.9,0.7,0.8,83.3,0.3,2.3,2.6,5.3,0.9,0.1,1.6,0.9,0.1,1.6,
2021,Tianna Hawkins, ATL,F,30,2,140000,28,15.5,4.9,1.8,4.5,39.7,0.6,2.4,24.2,0.8,0.8,91.3,0.5,2.6,3.1,0.6,0.4,0.5,1.1,0.4,0.5,1.1,
2021,Tiffany Mitchell, IND,G,26,3,144200,28,27.3,12,3.8,9.1,42.1,0.4,1.7,25.5,3.9,4.5,88,0.9,2,2.9,2,0.6,0,1.9,0.6,0,1.9,
2021,Tina Charles, WAS,C,32,1,175000,27,33.3,23.4,8.8,19.6,44.9,1.9,5.1,36.5,3.9,4.7,82,2.7,6.9,9.6,2.1,0.9,0.9,2.2,0.9,0.9,2.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
