Year,Player,Team,Position,Age,Contract,BS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
2022,Aerial Powers, MIN,F,28,3,196267,35,26.9,14.4,4.9,12.6,38.5,0.9,3.1,30.8,3.8,4.6,81.5,1.3,3.4,4.7,2.9,1.2,0.3,2.6
2022,A'ja Wilson, LV,C,26,2,196267,36,30,19.5,7.2,14.4,50.1,0.9,2.3,37.3,4.2,5.2,81.3,1.8,7.6,9.4,2.1,1.4,1.9,1.7
2022,Allie Quigley, CHI,G,36,1,135000,34,26.3,11.4,3.8,8.9,42.8,1.5,4.1,35.5,2.2,2.4,95,0.5,2,2.5,2.9,0.7,0.2,1.3
2022,Allisha Gray, DAL,G,27,3,164800,33,32.9,13.3,4.4,10.5,42.3,1.9,4.8,40.8,2.5,3.2,79.8,0.9,3.9,4.8,2.5,1.1,0.7,1.3
2022,Alysha Clark, WAS,F,35,2,183000,29,26.4,8,3.1,6.8,46.4,1,3.4,30.3,0.7,0.8,91.3,0.8,3.7,4.5,2,1,0.3,1.3
2022,Alyssa Thomas, CON,F,30,4,206000,36,32.1,13.4,5.2,10.4,50,0,0.1,0,3,4.1,73,2.1,6.1,8.2,6.1,1.7,0.2,2.9
2022,Amanda Zahui B, LA,C,28,2,139000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Ariel Atkins, WAS,G,26,2,170000,36,30,14.6,5.1,12.2,42,1.9,5.3,36.5,2.4,2.9,84.5,0.9,2.3,3.3,2.3,1.3,0.3,1.4
2022,Azurá Stevens, CHI,F,26,1,140000,35,21.9,10.6,4.3,9.1,47.2,1.2,3.3,36.2,0.8,1.1,74.4,0.6,3.3,3.9,0.8,0.5,1.1,0.7
2022,Betnijah Laney, NY,G,28,3,196267,9,28.3,11.2,4.2,10,42.2,1.2,3.2,37.9,1.6,1.8,87.5,0.1,3.2,3.3,2.8,0.4,0.1,2.7
2022,Breanna Stewart, SEA,F,27,1,228094,34,30.9,21.8,7.5,15.9,47.2,2,5.2,37.9,4.8,5.8,83.7,1.4,6.2,7.6,2.9,1.6,0.9,1.3
