Year,Player,Team,Position,Age,Contract,BS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
2023,Kelsey Mitchell, IND,G,27,3,206000,31,33.2,17.1,5.8,13.4,43,2.4,6.2,38.3,3.2,3.7,85.3,0.3,1.2,1.5,3,0.8,0.1,2.3
2023,Natasha Howard, DAL,F,31,4,227900,30,33.6,17,6.5,14.1,45.8,1,3.3,30.3,3.1,3.7,82.9,2.2,6,8.3,2.4,1.3,1.1,2.7
2023,Myisha Hines-Allen, WAS,F,27,3,175100,27,14,16.7,5.8,2.1,6.5,32.7,0.6,2,29.4,1,1.4,71.4,1,2.9,3.8,1.4,0.7,2
2023,Chelsea Gray, LV,G,30,2,196267,30,31.8,15,5.5,11,50.3,1.7,3.7,45,2.3,2.5,91.9,0.2,3.3,3.5,6.9,1.4,0.6,2.6
2023,Marina Mabrey, CHI,G,26,3,202000,29,29.9,15,5,12.7,39.6,2,5.5,36.9,2.9,3.4,83.8,0.9,3,3.9,3.7,0.7,0.4,2.3
2023,Monique Billings, ATL,F,27,1,145000,27,15,14.2,4.4,1.5,3.7,41.1,0,0.1,0,1.3,1.6,83.3,1.2,3,4.2,0.9,0.4,0.7
2023,Ezi Magbegor, SEA,C,23,2,159650,30,32.9,13.9,5.5,11,50.3,0.7,1.9,34.5,2.2,3.1,69.9,1.5,6.5,8.1,2.3,1.2,1.9,2.5
2023,Cheyenne Parker, ATL,F,30,3,196100,31,25.9,13.8,5.4,11.2,48,0.3,1.3,23.1,2.8,3.3,84.3,2.3,4.6,6.9,1.8,1.1,1.5,2.4
2023,Kayla McBride, MIN,G,31,3,201984,28,31.4,12.9,4.4,10.3,42.6,2.1,5.9,34.9,2,2.4,85.1,0.3,2.8,3,2,1.3,0.2,1.4
2023,Jasmine Thomas, LA,G,33,3,190000,33,15,12.5,2.5,0.9,3.5,24.7,0.5,2,23.9,0.3,0.3,100,0.3,0.9,1.2,0.7,0.3,1.3
2023,Stefanie Dolson, NY,C,31,2,160000,31,3,12.2,3.5,1.4,2.5,54.5,0.2,0.7,22.2,0.6,0.8,80,0.5,1.4,1.9,1.2,0.1,1.3
2023,Jonquel Jones, NY,F,29,2,211150,30,25,12.1,4.7,8.5,55.1,1,2.4,39.7,1.8,2.1,85.5,2.6,5.8,8.4,1.8,0.4,1.2,2.2
2023,Teaira McCowan, DAL,C,26,3,190000,20,25.7,11.6,4.9,8.6,57.3,0,0.2,0,1.8,3.1,58.1,3.4,4.9,8.3,1.8,0.7,1,1.6
2023,Betnijah Laney, NY,G,29,3,201984,30,29.4,11.4,4.6,9.4,48.4,1.4,3.6,39.4,0.8,1.2,71.4,0.6,2.7,3.3,2.3,0.8,0.1,1.7
2023,Sophie Cunningham, PHX,G,26,2,150000,27,28.5,11.1,3.6,8.5,42.4,2,5.5,36.2,1.9,2.2,86.7,0.5,2.1,2.6,2,0.7,0.3,1.5
2023,Erica Wheeler, IND,G,32,2,202154,31,26.3,10.4,3.9,9.4,41.7,0.8,2.5,32.5,1.8,2,87.3,0.4,2.5,2.8,5,0.9,0.1,2.1
2023,Courtney Vandersloot, NY,G,34,2,189000,29,30.3,10.1,4,9,43.9,0.8,2.9,28.9,1.4,1.8,75.5,0.5,3,3.5,8,1.2,0.7,2.8
2023,Courtney Williams, CHI,G,29,1,160000,30,30.4,10.1,4.3,10.1,42.1,1.2,2.8,44,0.3,0.6,58.8,0.9,5.1,6,6.2,0.9,0.3,2.3
2023,Azurá Stevens, LA,F,27,2,190000,25,23.9,9.8,3.9,9.3,41.8,1,2.9,34.2,1,1.4,73.5,1.5,3.8,5.4,0.9,1,0.8,1.2
2023,Aerial Powers, MIN,F,29,3,201984,29,9,9.2,4.9,1.9,5.2,37.3,0.2,1.1,21.4,0.8,0.9,91.7,0.4,1.3,1.7,1,0.2,0.5
2023,Dearica Hamby, LA,F,29,3,169000,30,24.6,9,3.4,7.9,43.6,0.1,0.9,14.3,2,3.3,61.6,1.3,4.5,5.8,1.8,0.8,0.3,1.6
2023,Kia Nurse, SEA,G,27,2,142500,30,19.9,5.3,1.9,5.8,32.6,1.2,3.5,33,0.4,0.4,100,0.3,1.9,2.2,1.4,0.7,0,0.7
2023,Danielle Robinson, ATL,G,34,3,155000,23,19.3,5,2.1,4.6,45.7,0.3,0.9,33.3,0.5,0.8,66.7,0.2,1.9,2.1,3,0.6,0.1,1.4
2023,Brianna Turner, PHX,F,27,2,150000,30,26.6,3.5,1.7,2.4,68.5,0,0,0,0.2,0.3,60,1.3,4.9,6.1,1.4,1.1,1.2,1.7
2023,Diamond DeShields, DAL,G,28,2,154500,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Isabelle Harrison, CHI,F,29,2,160000,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Natalie Achonwa, MIN,C,30,3,155100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Riquna Williams, LV,G,33,2,149350,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Skylar Diggins-Smith, PHX,G,33,4,234350,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
