Year,Player,Team,Position,Age,Contract,BS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
2023,Alyssa Thomas, CON,F,31,4,212000,31,9,36.6,15.3,6,13.1,46.1,0,0,0,3.2,4.6,70.3,2.2,8,10.1,3.2,1.9,8.1
2023,Natasha Cloud, WAS,G,31,3,190000,31,15,32.2,12.2,4,10.7,36.9,1,3.9,25.7,3.3,3.6,91.8,0.1,3.4,3.5,2.7,1.3,5.9
2023,Brionna Jones, CON,C,27,1,208000,27,3,31.7,15.9,6.2,10.8,57.1,0.2,0.3,50,3.5,4.5,77.6,3.2,5,8.2,2.2,1.8,2.4
2023,Brittney Sykes, WAS,G,29,3,190000,29,16,30.6,15.1,5.3,12.1,43.7,1.1,3.3,33.7,3.4,4.4,78.6,1,3.9,4.9,2.5,2.2,3.9
2023,DeWanna Bonner, CON,F,35,4,234350,35,9,29.9,17.8,6,14.1,42.6,1.9,5.8,32.8,3.9,4.6,85.4,0.7,4.4,5.1,1.4,1.1,2.1
2023,Elena Delle Donne, WAS,F,33,4,234350,33,7,29.9,18.2,6.9,13.9,49.3,1.1,2.7,39,3.4,3.5,96.2,1.2,4.8,6,1.7,0.8,2.6
2023,Ariel Atkins, WAS,G,27,2,175000,27,8,27.9,12.5,4.2,10.2,40.9,1.7,5.2,33.3,2.4,2.6,92,0.6,2.8,3.4,1.5,1.1,2.7
2023,Tiffany Hayes, CON,G,33,1,162477,33,9,26.9,12.1,4.2,8.9,47.4,1.2,3.3,37.8,2.5,3.1,78.7,1,2.3,3.3,1.4,0.9,2.8
2023,Jewell Loyd, SEA,G,29,2,234936,28,35.3,24.1,7.4,19.6,37.8,3.1,8.3,37.9,6.2,7,88.3,1.2,3.4,4.6,3.4,1.1,0.4,3
2023,Breanna Stewart, NY,F,28,1,175000,30,34.4,23.3,7.8,16.8,46.6,2.1,5.6,38.1,5.5,6.4,85.4,1.6,7.6,9.2,3.8,1.5,1.5,1.6
2023,Napheesa Collier, MIN,F,26,3,202154,27,32.8,21.4,7.9,16.6,47.9,1.1,3.6,30.9,4.4,5.3,83.2,1.6,6.3,7.9,2.4,1.5,1,2.2
2023,A'ja Wilson, LV,C,27,2,202155,30,30.2,21.2,7.7,14.3,53.7,0.2,0.8,21.7,5.6,7.1,79,2.1,7.6,9.6,2,1.4,2.2,1.4
2023,Arike Ogunbowale, DAL,G,26,3,234936,30,37,20.9,7.4,19,39,2.7,8.3,32,3.4,3.9,87.2,0.4,3,3.5,4.4,1.6,0.1,2.6
2023,Nneka Ogwumike, LA,F,33,1,169500,29,31.5,19.7,7.4,14.7,50.6,0.6,1.8,34,4.2,4.7,89.1,1.7,7.3,9,2.7,1.7,0.8,2.3
2023,Kelsey Plum, LV,G,28,2,200000,29,31.8,19,6.7,13.6,48.9,2.3,6,38.7,3.3,3.7,91.5,0.2,2.3,2.6,4.4,1,0,2.2
2023,Kahleah Copper, CHI,G,28,2,205000,29,31.3,18.9,7,15.2,45.9,1.9,4.3,42.9,3.1,4,78.3,0.6,3.6,4.2,1.8,0.7,0.3,2.5
2023,Jackie Young, LV,G,25,2,165000,30,31.4,18.6,6.6,12.3,53.8,2.4,5.1,47.4,3,3.6,83.3,0.5,3.4,3.9,3.6,1.4,0.1,1.7
2023,Brittney Griner, PHX,C,32,1,165100,24,27.8,17.9,7.2,12.6,56.8,0,0.3,14.3,3.5,4.4,80.2,1.4,5.5,7,2.1,0.6,1.7,2.3
2023,Mercedes Russell, SEA,C,28,3,160000,28,18,17.6,4.4,1.9,3.8,50,0,0,0,0.7,1.1,60,1.1,2.9,4,1.1,0.3,1.2
2023,Allisha Gray, ATL,G,28,3,169600,31,32.7,17.4,5.8,12.2,47.6,1.1,3,38,4.6,5.7,80.9,1.5,3.5,4.9,3.3,1.1,0.3,2
2023,Diana Taurasi, PHX,G,41,2,234936,23,28.5,17.2,5.4,12.7,42.5,2.7,7.6,35.1,3.7,4.4,85.1,0.1,3.5,3.6,4.8,0.6,0.5,3.1
